track_id,entry_time,exit_time,duration_sec,entry_x,entry_y,exit_x,exit_y
5,0.77,1.83,1.07,29.7,480.6,0,0
5,0.77,1.97,1.2,29.7,480.6,0,0
5,0.77,2.3,1.53,29.7,480.6,0,0
5,0.77,3.57,2.8,29.7,480.6,0,0
25,2.67,4.97,2.3,95.9,555.7,0,0
25,2.67,6.27,3.6,95.9,555.7,0,0
25,2.67,7.9,5.23,95.9,555.7,0,0
25,2.67,7.97,5.3,95.9,555.7,0,0
25,2.67,8.3,5.63,95.9,555.7,0,0
25,2.67,9.07,6.4,95.9,555.7,0,0
25,2.67,9.2,6.53,95.9,555.7,0,0
4,0.0,9.5,9.5,344.1,51.2,0,0
30,9.43,10.23,0.8,21.4,484.7,0,0
30,9.43,11.13,1.7,21.4,484.7,0,0
32,10.4,11.3,0.9,91.2,542.6,0,0
32,10.4,11.97,1.57,91.2,542.6,0,0
32,10.4,14.03,3.63,91.2,542.6,0,0
32,10.4,14.57,4.17,91.2,542.6,0,0
32,10.4,14.73,4.33,91.2,542.6,0,0
32,10.4,15.9,5.5,91.2,542.6,0,0
39,15.33,16.3,0.97,32.8,476.3,0,0
32,10.4,16.6,6.2,91.2,542.6,0,0
32,10.4,17.37,6.97,91.2,542.6,0,0
